label,text
Positive,@FionaFlame With Florence - but not OH 
Positive,@mileycyrus Watch britains got talent final  it's jks
Negative,@Pippa14 Oh man i wish!!!! i would loooooove to do it again...but...i got to do it last year and i don't think i'l get on this year 
Negative,Damn! The Firefox poker aint loading! 
Negative,"Aww, the free Sugar Ray show tonight was cancelled.    We had tickets.  At least they were free..."
Negative,@amazondotjon why arent you following your bestie @tom_conrad ...did you break up? 
Positive,"@acemckay BUT - peanut butter, honey, &amp; cinnamon is a FAB combo for when the syrup runs out. "
Negative,its sunday and i have work!  
Positive,it is like a light. agnes sent me a message that enlightens up my perception about certain things. God works in many ways we don't expect 
Positive,@partnersinrhyme @andylloydgordon ...or a cat with edible add-ons? Energy crisis solved! 
Negative,But the German forums works. That's so not fair. 
Negative,@socialitenyc I can't w8 to get it. I haven't seen it in stores tho  gotta get it online
Negative,is going to bed now cause I really dont feel well right now  Good night everyone
Negative,( via @strings_puppet) What is this doom you're referring to? 
Positive,"@RicRaftis thanks--guess I'm getting dumber &amp; dumber. If it had been a snake,it would have bitten me. "
Positive,Wearing a top/dress thingy  it's very summery!
Negative,We just started having our bbq and it started raining  lol
Positive,is so happy being with the people she loves. TEAM HAYDN. 
Positive,Sleepy time. Sorry didn't tweet much tonight. See you all tomorrow 
Positive,"@Nobilis Or perhaps to be more Web 2.0ish you should get bil.is, and set up no.bil.is. "
Negative,Anna's parents gave me tea to make me piss alot for my swollen leg. lol. I hope thats all it makes me do. No more running  dr's orders 
Negative,apparently us fat girls are getting screwed out of clothes. and not in a good way. companies all around are getting rid of their + sizes. 
Positive,"went to langlang skate park with kev&amp;mates, ended up staking so bad on a mini bike. i blame it on daves jinxed necklace ring. "
Negative,"@_annee you're so lucky. haha, nopes, none. everyday is 8.50 till 3 "
Positive,Super excited to check out Apple's WWDC keynote tomorrow! Hopefully they announce some new toys to same up my money for 
Negative,going home in 20 mins 
Positive,Well that was fun.  now playing: Stars Go Cold.
Negative,broken deck  guess i'll jus watch the rest of yall skateboard...
Negative,I just got the news that my dear friend is getting married!!! ughh... 
Negative,@rawrrxalliey aww  Hope your ok Alliey *hugs*
Negative,is completely out of bookshelf real estate 
Negative,typischer montags-Stress 
Negative,@itsjmaine aw alright  well we should hang out this week!
Negative,@sdwrage if you think that is bad the group I was DMing broke up because I let allowed two bow rangers to exist in the goup  #DND
Positive,"I thought I saw Susan Boyle freak out. So i wrote on my blog, I wonder if you guys think it's her  http://tinyurl.com/ndepoh"
Positive,"@KirstenJ77 (btw, boil in chicken stock). then re-add to pot, add 1 cup milk, and half cup grated cheese. stir on low heat and remove. "
Positive,"Forgot I even signed up for this, im slacking.. "
Positive,@JasmineJoi I think you should do it. I honestly was thinking the same thing. I want my followers to get a better idea of who I am. 
Negative,Recieved my tracking info for the 3G S. Have to wait till Monday 
Negative,@_MIIMII_ me toooooo 
Negative,My tummy hurts 
Positive,@WhippetOut Thanks for goodnight wishes. Catching up 24 hours later 
Positive,"Doing some laundry, getting the kids ready so we can go play with Amber and Noah tonight!    We are all very excited!!  "
Positive,http://bit.ly/19FSZW  oohmygoshhh i'm excited  can't wait!
Negative,Pens lost and Moose lost both shutouts :'( note i don't like today 
Positive,@nothing_to_sea 
Negative,"someone's stolen my shoes.  why on earth would they do that?  for starters, they smell "
Negative,Papa's taking too long to go home  The food's cold already 
Negative,@rashyyy I wanna come play  only 9 months yey.... And nothings new same old port hedland lol what about you??
Positive,"@Paischi told ya, didnt i "
Positive,@tommcfly awww hes a famous wee kitten already lol  who picked the name? its dead sweet  xxx
Positive,Chillin  with my baybeeeee 
Positive,"Going camping! Bye, everyone. "
Positive,@Pearl You can finish it! I was able to finish mine over the 1st weekend but with zero sleep and a shitload of coffee  (lawschool staple)
Positive,Coffee time ! 
Negative,"Wow, this is one hard mattress. I hope I get some sleep. Might have better luck on the couch. Yikes. "
Negative,@lilabiem awww  don't do this to meee haha now you're gonna make me saddd
Negative,My elbow hurts  is it really loasibleto exercise to hard? Or it it carpel tunnel @kelseystaar www.caseystaar.com
Positive,"@misterperturbed You saw that fraktastic zoidberg painting that was tweeted around last week or so, didn't you? "
Positive,"@deathcount248 I feel absolutely no guilt at all, bb. NONE.  Liar Game deserves many readers."
Positive,"finally, moved my docs from Gdocs to Zoho "
Negative,The train went straight past Hildenborough station this morning. Poor hildenborough people with there dejected faces  HAH!!!
Positive,"@ivypayne You know, it may seem cheesy but your daily reminder to &quot;create an awesome day&quot; actually helps me do so. So thanks "
Negative,"Home sick   I just joined, like a half hour agoo.....so follow mee &lt;3 xoxoxoxoxo"
Positive,@nicehayley and I'm glad you didn't give in to the stupidity of some people...you're right he is selfish. but i love you 
Positive,@ButchtasticKyle And a shot for each of the minute breaks you get between rounds! Cleanse all those nice mouth wounds y'all will get. 
Negative,@BQBrat ill come bring you a napkin  &lt;3 you
Negative,@forshannonski sorry to hear about your Grandmother's passing. You have my sincere condolences Shannon. Rob 
Negative,"@RealOneTreeHill I think the time change is gonna hurt the show. need the gg lead in, esp without leyton  any reason given for the change?"
Negative,@SoMuchForErin s why not? That sucks. 
Negative,@chucktvdotnet love the #chuck tweets- helps ease the pain of not being able to join in this week   hopefully next #chuckmemonday !!!
Positive,i'm going to buy my slam dunk ticket today 
Positive,@Aled25 SA is actually &quot;Samuel Arthur&quot; named after the founder of the Brains Brewery. I too prefer the name &quot;Skull Attack&quot; 
Positive,I'm doing nothing  But...i'll take a shower
Positive,i want ice cream! 
Negative,@HeYSiD Yeap! I wanted my money back  Don't think it's worth paying $11. Just wait for it on DVD.
Positive,@cray718 wats up butt 
Positive,"@willowj sun backing on magnetic island.... It's a hard life I tell you... Jet skiing, sunsets, pina coladas "
