I'm really sorry about last night.	నిన్న రాత్రికి నన్ను నిజంగా క్షమించు
Have you ever been here before?	నువ్వు ఇంతకు ముందెప్పుడైనా ఇక్కడకు వచ్చావా?
My father often falls asleep while watching television.	మా నాన్న దురదర్శిని చూస్తూనే నిద్ర పోతాడు
How tall is she?	ఆమె ఎంత పొడుగు ?
What are you saying?	నువ్వు ఏం చెప్తున్నావు ?
You must speak in a loud voice.	నువ్వు గట్టిగా మాట్లాడాలి
Wonderful!	అద్భుతం!
Old people walk slowly.	ముసలివాళ్లు నెమ్మదిగా నడుస్తారు
This made me very sad.	ఇది నన్ను చాలా బాధ పెట్టింది
Can I make a phone call?	నేను ఒక ఫోన్ చేసుకోవచ్చా ?
I began to speak.	నేను మాట్లాడటం మొదలుపెట్టాను
That sounds really interesting.	అది చాలా ఆసక్తికరంగా ఉన్నట్లు ఉంది
This is not a sentence.	ఇది ఒక వాక్యం కాదు.
Put the boxes over there.	డబ్బాలు అక్కడ పెట్టు
Don't interfere with my work.	నా పని లో అడ్డు రాకు.
He hung up.	అతను పెట్టేసాడు
With her heart pounding, she opened the door.	తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది
None of them are present.	వాళ్లెవరు రాలేదు
Do you have anything further to say?	ఆ పైన ఇంకేమైనా చెప్పేది వుందా ?
You seem very happy.	నువ్వు చాలా సంతోషంగా ఉన్నట్లున్నావ్
You must stay where you are.	నువ్వు ఎక్కడ ఉన్నవో అక్కడే ఉండు
More coffee, please.	దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.
I'll be very careful.	నేను చాలా జాగ్రత్తగా ఉంటాను
I'm not allowed to do that here.	అది ఇక్కడ చెయ్యడానికి నాకు అనుమతి లేదు
You've arrived very early.	నువ్వు చాల త్వరగా వచ్చావు
I wouldn't go there today if I were you.	నేను నువ్వైతే ఈరోజు అక్కడికి వెళ్ళను
He didn't keep his word.	అతను తన మాట నిలబెట్టుకోలేదు
She taught music for thirty years.	ఆమె ముప్పై ఏళ్ళ పాటు సంగీతం నేర్పిస్తుంది
Definitely!	తప్పకుండా
I heard you were sick.	నీకు బాగోలేదని విన్నాను
Are you feeling OK?	వొంట్లో ఎలా వుంది
